open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,tkbbav,tkqav,ign.
1548460800000,0.032299,0.03258,0.032133,0.032341,149788.235,1548547199999,4851.6536388,123082,77169.673,2500.03345567,0
1548547200000,0.032341,0.032426,0.031549,0.031565,213301.26100000003,1548633599999,6836.37823362,156092,96909.882,3106.19645889,0
1548633600000,0.031562,0.031735,0.029805,0.030719,341549.102,1548719999999,10477.44028631,231066,153643.022,4712.90266452,0
1548720000000,0.030718,0.030994,0.030229,0.030619,209233.87,1548806399999,6421.00394983,170714,109067.596,3346.70894973,0
1548806400000,0.03062,0.031586,0.030444,0.031311,198536.772,1548892799999,6160.52395429,144063,104078.347,3228.13257941,0
1548892800000,0.031317000000000005,0.031762,0.03077,0.030996,191497.371,1548979199999,5970.30616144,133688,98584.823,3071.82739802,0
1548979200000,0.031006,0.031136,0.03046,0.030827,152161.646,1549065599999,4684.85392313,112426,84071.5,2588.36566105,0
1549065600000,0.030828,0.031621,0.030767000000000006,0.031519,119463.938,1549151999999,3705.40971586,95557,64937.256,2013.61497743,0
1549152000000,0.03152,0.031668,0.030873,0.031035000000000007,127646.523,1549238399999,3989.94233089,94720,65061.353,2034.67261953,0
1549238400000,0.031038,0.03138,0.030851,0.031078,130147.761,1549324799999,4047.9393298,92533,62821.843,1954.27614896,0
1549324800000,0.031082,0.031158,0.030813,0.030912,143547.90099999998,1549411199999,4447.60784869,95688,68258.993,2114.96869137,0
1549411200000,0.030915,0.03105,0.029865,0.030697,198990.79100000003,1549497599999,6045.1822628,147012,104537.818,3175.59950552,0
1549497600000,0.030705,0.031007,0.030632,0.030738,128210.675,1549583999999,3949.63220021,109582,66314.832,2042.80345744,0
1549584000000,0.030738,0.033039,0.030601,0.032579000000000004,307492.653,1549670399999,9837.86121143,214105,152988.27300000002,4895.72212522,0
1549670400000,0.032578,0.033041,0.032335,0.032527999999999994,173260.635,1549756799999,5641.63718455,139197,88770.62199999997,2891.02672577,0
1549756800000,0.032527999999999994,0.0342,0.03202,0.033999,221987.819,1549843199999,7253.97288631,157551,110952.865,3625.63811197,0
